endX,endY,WeightedCount,WeightedExpectedGoals,GoalProbability
52,0,1389.91199666577,2.54,0.02
52,2,2184.92905978434,5.83,0.02
52,4,2851.08545001139,9.128,0.021
52,6,3219.29042189712,11.034,0.021
52,8,3314.4364583874,11.329,0.021
50,0,1306.17083581808,1.92,0.017
50,2,2050.39538211839,4.408,0.017
50,4,2671.65284180078,7.054,0.018
50,6,3017.36567093055,9.002,0.02
50,8,3114.80773566027,9.841,0.021
50,10,3123.11619300126,10.018,0.02
48,0,1192.16487256965,1.101,0.012
48,2,1883.92092756216,2.566,0.013
48,4,2460.38647837842,4.36,0.014
48,6,2781.36138100173,6.203,0.016
48,8,2881.36459140736,7.657,0.018
48,10,2913.14494717602,8.341,0.018
48,12,3007.91022890266,8.679,0.018
46,0,1073.01840320633,0.49,0.007
46,2,1708.12120493869,1.241,0.008
46,4,2237.58872162178,2.441,0.01
46,6,2534.97790732087,4.099,0.013
46,8,2640.76464583535,5.825,0.015
46,10,2693.62655320936,6.976,0.017
46,12,2810.21434664488,7.455,0.017
46,14,3018.42407664973,7.907,0.017
44,0,986.912274252717,0.225,0.005
44,2,1568.61523076565,0.691,0.006
44,4,2051.68770573551,1.659,0.008
44,6,2326.96950504151,3.214,0.011
44,8,2434.6830282027,4.998,0.015
44,10,2491.50536537173,6.35,0.018
44,12,2599.06461215378,6.987,0.019
44,14,2800.57711449383,7.487,0.019
42,0,937.042895542816,0.154,0.004
42,2,1470.61475148018,0.547,0.006
42,4,1906.31382281615,1.45,0.008
42,6,2152.29572236458,2.96,0.012
42,8,2247.52763962606,4.713,0.017
42,10,2288.91198843608,5.996,0.02
42,12,2363.38319990593,6.535,0.022
42,14,2525.30530129063,7.026,0.022
42,16,2773.296095603,7.996,0.022
40,0,895.045612495267,0.154,0.004
40,2,1381.45267088645,0.555,0.006
40,4,1765.38417547245,1.427,0.009
40,6,1969.57629332473,2.743,0.013
40,8,2035.71395852014,4.111,0.017
40,10,2051.95269454579,4.962,0.021
40,12,2093.47534527192,5.258,0.023
40,14,2212.52590626568,5.707,0.024
40,16,2421.99379423073,6.545,0.023
38,0,831.106881931213,0.172,0.005
38,2,1269.02158644684,0.598,0.007
38,4,1602.59657616037,1.4,0.01
38,6,1765.08584768253,2.362,0.013
38,8,1802.63931760117,3.092,0.016
38,10,1802.27894382736,3.379,0.019
38,12,1830.71344276334,3.47,0.021
38,14,1929.24311650402,3.848,0.022
38,16,2115.38807180765,4.458,0.021
36,0,734.263971622823,0.163,0.005
36,2,1123.09647317728,0.544,0.007
36,4,1417.0497996787,1.185,0.009
36,6,1556.32329809382,1.805,0.011
36,8,1586.36687762539,2.095,0.013
36,10,1592.01281395438,2.071,0.015
36,12,1633.40279887068,2.05,0.016
36,14,1739.91980211401,2.289,0.017
34,0,616.274017639937,0.111,0.004
34,2,956.290285104167,0.366,0.005
34,4,1222.45357119488,0.771,0.007
34,6,1359.7484085578,1.127,0.008
34,8,1405.640928493,1.256,0.009
34,10,1436.44975122792,1.218,0.01
34,12,1506.90799632101,1.224,0.011
34,14,1636.54733523133,1.394,0.012
32,0,497.941433982887,0.053,0.003
32,2,789.683030460283,0.179,0.004
32,4,1032.50114048343,0.382,0.005
32,6,1176.43524814966,0.562,0.005
32,8,1247.16005490734,0.65,0.006
32,10,1308.64852786461,0.705,0.007
32,12,1408.82524073778,0.841,0.007
30,0,395.061001170173,0.02,0.002
30,2,639.802499418528,0.077,0.002
30,4,856.200544290022,0.182,0.003
30,6,1001.01032839524,0.293,0.004
30,8,1090.61778256659,0.375,0.005
30,10,1176.63833021511,0.483,0.005
30,12,1297.0761584037,0.723,0.006
28,0,315.363257573464,0.01,0.002
28,2,516.829589804607,0.048,0.003
28,4,702.131054040399,0.141,0.004
28,6,836.170051917873,0.263,0.005
28,8,931.006449549715,0.35,0.006
28,10,1027.18234706128,0.435,0.006
28,12,1152.24352508434,0.669,0.007
28,14,1297.47929293284,1.082,0.008
28,16,1435.44931000923,1.445,0.009
28,18,1550.56407121657,1.493,0.009
26,6,692.495013469449,0.304,0.01
26,8,779.08717095256,0.395,0.011
26,10,868.433073913757,0.418,0.01
26,12,980.740019585386,0.549,0.009
26,14,1106.71995521701,0.878,0.009
26,16,1223.76798567605,1.206,0.009
26,18,1321.59821697904,1.242,0.009
26,20,1396.6443227526,1.014,0.008
26,22,1435.17810120816,0.912,0.01
24,4,481.765979079582,0.136,0.012
24,6,576.647631944209,0.295,0.017
24,8,647.500788008032,0.398,0.019
24,10,719.12354330066,0.384,0.016
24,12,808.408507457419,0.399,0.012
24,14,911.309170192937,0.56,0.01
24,16,1014.28560564759,0.766,0.009
24,18,1111.71199745638,0.814,0.008
24,20,1200.07796936636,0.716,0.008
24,22,1264.29567640947,0.71,0.009
24,24,1282.68069005667,0.875,0.013
22,2,304.59171594017,0.025,0.009
22,4,411.511214883594,0.098,0.016
22,6,488.090095148122,0.248,0.024
22,8,541.728942378505,0.382,0.028
22,10,594.355262927624,0.38,0.025
22,12,661.685616626418,0.318,0.017
22,14,743.063911157566,0.34,0.011
22,16,830.511939046199,0.427,0.008
22,18,923.562956645355,0.477,0.007
22,20,1024.38853423266,0.501,0.007
22,22,1120.58635752115,0.587,0.008
22,24,1180.0391055578,0.69,0.01
20,2,269.81103733593,0.014,0.009
20,4,363.179806631356,0.069,0.017
20,6,425.510233350579,0.206,0.028
20,8,463.997076437273,0.363,0.034
20,10,500.910869078739,0.383,0.031
20,12,551.367467522506,0.311,0.022
20,14,613.446134464662,0.304,0.014
20,16,678.457340723141,0.372,0.01
20,18,750.018927032629,0.424,0.008
20,20,843.235735724454,0.451,0.007
20,22,956.658877867745,0.502,0.007
20,24,1052.1844566941,0.529,0.008
18,0,147.942131139398,0.001,0.003
18,2,244.322130031291,0.01,0.007
18,4,330.442439105883,0.05,0.015
18,6,385.145552833627,0.154,0.024
18,8,413.348343319608,0.278,0.031
18,10,437.970858412519,0.311,0.03
18,12,475.129090562403,0.302,0.023
18,14,519.709343279848,0.38,0.018
18,16,559.105074526025,0.514,0.016
18,18,600.025604347455,0.558,0.014
18,20,669.644871144767,0.494,0.011
18,22,779.068669440793,0.426,0.008
18,24,894.853963132881,0.377,0.007
18,26,963.959699726804,0.32,0.007
16,0,131.29133812469,0.001,0.002
16,2,218.729421068017,0.008,0.005
16,4,299.609115889602,0.034,0.01
16,6,351.83253125155,0.092,0.016
16,8,375.95036683544,0.156,0.021
16,10,393.998081256556,0.191,0.022
16,12,423.196433977963,0.261,0.02
16,14,455.052229309546,0.443,0.02
16,16,472.860991949644,0.64,0.023
16,18,485.9526936292,0.654,0.022
16,20,528.490489284974,0.499,0.017
16,22,619.596752456323,0.342,0.01
16,24,738.393898476491,0.249,0.006
16,26,846.372461356319,0.212,0.005
14,2,187.360107882584,0.005,0.003
14,4,258.000382247276,0.019,0.006
14,6,306.046892677279,0.045,0.009
14,8,330.155709151982,0.07,0.012
14,10,349.948055282724,0.102,0.013
14,12,379.879646358204,0.203,0.015
14,14,406.227966302986,0.416,0.02
14,16,408.927696850639,0.614,0.027
14,18,399.809767384687,0.599,0.029
14,20,416.765784066183,0.425,0.022
14,22,483.304356942406,0.256,0.012
14,24,592.513765749395,0.159,0.006
14,26,724.75002867631,0.144,0.005
12,2,149.637415450202,0.002,0.002
12,4,203.834325290533,0.008,0.003
12,6,243.105032903228,0.017,0.005
12,8,268.381014720213,0.027,0.006
12,10,295.262608466906,0.051,0.007
12,12,330.662645064184,0.132,0.01
12,14,355.032167260623,0.299,0.017
12,16,347.409715301926,0.442,0.025
12,18,321.568820888466,0.424,0.029
12,20,316.568599782867,0.293,0.024
12,22,358.811941727444,0.167,0.014
12,24,450.781640590353,0.096,0.007
10,2,107.49750586862,0,0.001
10,4,145.08386584754,0.002,0.002
10,6,175.248264206098,0.004,0.002
10,8,201.212042265251,0.008,0.003
10,10,233.178225403581,0.021,0.004
10,12,270.206758138911,0.063,0.007
10,14,290.789576385639,0.15,0.012
10,16,277.095497201505,0.227,0.02
10,18,243.246915097093,0.219,0.025
10,20,225.353309204674,0.149,0.023
10,22,249.016745097518,0.083,0.015
10,24,319.194221919835,0.052,0.008
8,4,92.4449556197514,0,0.001
8,6,115.910036059483,0.001,0.001
8,8,139.763595356956,0.002,0.001
8,10,169.462933650917,0.006,0.002
8,12,201.041788980658,0.02,0.004
8,14,216.399786070848,0.049,0.008
8,16,202.624397747064,0.078,0.013
8,18,171.898148764139,0.078,0.019
8,20,153.0832234051,0.055,0.021
8,22,166.136307302928,0.036,0.016
6,6,71.2995620376589,0,0
6,8,88.9386306872279,0,0.001
6,10,110.047921724566,0.001,0.001
6,12,132.331010624713,0.004,0.002
6,14,143.433152752261,0.012,0.005
6,16,134.422619211041,0.019,0.008
6,18,114.202520050721,0.02,0.013
6,20,102.983258228815,0.019,0.018
4,10,63.6255018155045,0,0
4,12,76.6341550770685,0.001,0.001
4,14,84.2538255507207,0.002,0.002
4,16,80.3410189309942,0.004,0.005
4,18,70.8939192124161,0.005,0.01
12,0,92.7619313180709,0,0.001
10,0,68.1293024194615,0,0
8,0,42.1351784440594,0,0
8,2,67.0162049281219,0,0
6,0,21.4796860802279,0,0
6,2,36.3954101044805,0,0
6,4,53.8179223836001,0,0
4,0,9.73017614774987,0,0
4,2,18.9135315455366,0,0
4,4,30.9924661987174,0,0
4,6,42.6730832160212,0,0
4,8,52.5288598958755,0,0
2,0,4.6949952704029,0,0
2,2,10.749499356804,0,0
2,4,19.0610191335386,0,0
2,6,26.1945346292319,0,0
2,8,30.1845539613814,0,0
2,10,33.9923035724225,0,0
2,12,39.9562470107767,0,0
2,14,44.3434229806951,0,0.001
2,16,43.0927002063354,0.001,0.003
2,18,40.2277008746885,0.001,0.007
0,0,2.51444339290503,0,0
0,2,6.33604945784261,0,0
0,4,11.5826573006514,0,0
0,6,15.5294638101385,0,0
0,8,16.6267539299547,0,0
0,10,16.9771071906073,0,0
0,12,18.9225914136441,0,0
0,14,20.7681825533384,0,0.001
0,16,20.355841107826,0,0.002
0,18,20.0722884416756,0,0.006
90,32,3012.82914695151,18.949,0.038
90,34,2968.89167954101,21.404,0.04
88,26,3416.67893588452,20.139,0.028
88,28,3282.94647214706,18.914,0.031
88,30,3149.88004219952,17.942,0.034
88,32,3052.82753501297,18.099,0.036
88,34,3031.21956039896,19.932,0.038
88,36,3064.49324108674,21.58,0.038
88,38,3066.84309897806,20.022,0.035
88,40,2987.43604720748,15.534,0.032
86,24,3676.62967631769,22.068,0.024
86,26,3547.85627702942,20.499,0.026
86,28,3397.04500981833,19.447,0.029
86,30,3239.91983230667,18.431,0.031
86,32,3122.68615872799,17.748,0.033
86,34,3106.98870641411,18.652,0.034
86,36,3179.03160980606,20.561,0.034
86,38,3231.81487590667,20.42,0.033
86,40,3186.53088647771,17.027,0.03
86,42,3097.32858760026,12.844,0.027
84,22,3855.89808245281,26.121,0.024
84,24,3749.16301561276,22.494,0.024
84,26,3610.72505561677,20.147,0.025
84,28,3471.0616285889,19.719,0.027
84,30,3326.05974892304,19.497,0.03
84,32,3215.001143533,18.834,0.031
84,34,3201.30432375547,18.995,0.031
84,36,3273.93583614043,20.247,0.031
84,38,3331.14461845752,20.313,0.03
84,40,3300.5782127408,17.761,0.029
84,42,3235.64949991677,14.303,0.027
84,44,3239.16520760079,11.93,0.024
82,22,3928.8572355612,27.708,0.025
82,24,3795.14881962835,22.4,0.024
82,26,3661.54801840054,19.583,0.024
82,28,3541.66195681157,19.721,0.026
82,30,3414.99296714561,20.566,0.028
82,32,3312.76161341927,20.685,0.03
82,34,3292.58331661483,20.654,0.03
82,36,3342.38203051244,20.907,0.03
82,38,3374.06191679304,20.234,0.029
82,40,3339.02488821099,17.912,0.028
82,42,3302.09234693619,15.273,0.027
82,44,3351.68384307644,13.702,0.025
80,22,3956.86682705301,26.329,0.025
80,24,3833.65229859532,21.067,0.023
80,26,3728.30290339755,18.313,0.023
80,28,3632.19296241919,18.621,0.024
80,30,3512.18343137458,20.281,0.027
80,32,3397.181832435,21.544,0.029
80,34,3350.10194035576,22.083,0.03
80,36,3367.01199088528,22.013,0.031
80,38,3372.00706583198,20.734,0.03
80,40,3330.64448713062,18.122,0.029
80,42,3319.10727164725,15.771,0.028
80,44,3417.5855167412,15.005,0.027
78,20,3999.17159407269,25.986,0.024
78,22,3929.20305857733,22.688,0.024
78,24,3851.44126564366,19.062,0.022
78,26,3799.33658120349,16.887,0.021
78,28,3735.59287142342,17.092,0.022
78,30,3613.31310809079,18.963,0.025
78,32,3460.77790147513,20.918,0.028
78,34,3357.47556923929,22.187,0.03
78,36,3326.01514607669,22.58,0.031
78,38,3307.80315538815,21.317,0.031
78,40,3270.93198794388,18.294,0.029
78,42,3289.38827572081,15.716,0.028
78,44,3439.99152667834,15.481,0.028
78,46,3669.29093084135,16.668,0.027
76,20,3929.48527604017,20.35,0.023
76,22,3895.57392549044,19.56,0.023
76,24,3894.75107314711,18.179,0.022
76,26,3912.82524310028,16.956,0.021
76,28,3879.76116304848,16.994,0.022
76,30,3737.0900384803,18.236,0.024
76,32,3516.32004391785,19.604,0.027
76,34,3318.20296346484,20.63,0.029
76,36,3205.23815693757,21.166,0.031
76,38,3152.8262992061,20.134,0.031
76,40,3133.77330174838,17.19,0.029
76,42,3205.72525665624,14.768,0.028
76,44,3431.1203049826,15.218,0.027
76,46,3747.64357555705,17.697,0.027
74,20,3896.88822259488,17.081,0.021
74,22,3948.77094215756,18.665,0.022
74,24,4052.39828788485,19.587,0.022
74,26,4140.95053857059,19.619,0.023
74,28,4113.55367854347,19.382,0.024
74,30,3911.98309694802,19.211,0.025
74,32,3585.63261987012,18.841,0.027
74,34,3262.94717314248,18.362,0.029
74,36,3046.29516819587,17.92,0.031
74,38,2951.28227360033,16.721,0.03
74,40,2962.11061448013,14.487,0.028
74,42,3110.90220058048,13.165,0.026
74,44,3430.46504128908,14.762,0.025
74,46,3849.85142666582,18.555,0.025
72,22,4116.10493092383,20.008,0.021
72,24,4315.07906952777,23.305,0.023
72,26,4444.72089081057,24.673,0.024
72,28,4388.48473420632,23.73,0.026
72,30,4109.07641052201,21.704,0.027
72,32,3688.33275181638,19.648,0.029
72,34,3276.0411422599,17.687,0.03
72,36,2992.54852711497,15.839,0.031
72,38,2877.55014799405,14.051,0.029
72,40,2923.6171734741,12.486,0.027
72,42,3137.85551896853,12.321,0.024
72,44,3520.21319528604,14.653,0.023
70,22,4315.7495564756,24.119,0.022
70,24,4541.46960616548,29.172,0.025
70,26,4655.83103210914,30.996,0.026
70,28,4558.40966791105,28.642,0.028
70,30,4250.16575183691,24.95,0.029
70,32,3836.76381622329,22.361,0.031
70,34,3451.68812549475,20.188,0.032
70,36,3191.59948295965,17.534,0.031
70,38,3098.79588672645,14.969,0.028
70,40,3175.64474929371,13.33,0.025
70,42,3412.84185473387,13.258,0.023
70,44,3782.51329145964,14.931,0.021
68,24,4591.23237420893,36.871,0.028
68,26,4645.80788808303,37.339,0.029
68,28,4531.18240249595,33.079,0.029
68,30,4287.14703211373,28.459,0.03
68,32,4011.93709016581,26.511,0.032
68,34,3772.00173465095,25.231,0.032
68,36,3602.11272165105,22.333,0.03
68,38,3546.32390458827,18.763,0.027
68,40,3638.71805368603,16.174,0.024
68,42,3868.3709804113,15.124,0.021
66,26,4418.22280453344,41.508,0.033
66,28,4324.81663618432,35.54,0.031
66,30,4205.4965720418,30.797,0.031
66,32,4124.7122458772,29.939,0.032
66,34,4058.04414285944,29.683,0.031
66,36,3970.92199246376,26.574,0.029
66,38,3923.1140264575,21.828,0.025
66,40,4007.30833599851,18.005,0.021
64,30,4003.93955725135,29.493,0.031
64,32,4072.3032604334,29.783,0.031
64,34,4127.66539911783,30.088,0.03
64,36,4084.06458353876,26.761,0.027
26,0,258.305810847352,0.008,0.002
26,2,423.353678202209,0.045,0.004
26,4,577.229232417101,0.15,0.007
24,0,217.484789988467,0.006,0.003
24,2,354.542007196002,0.038,0.007
22,0,187.231183028279,0.004,0.004
20,0,165.093532167303,0.002,0.004
14,0,113.269136641077,0.001,0.001
42,18,3049.02463771123,8.611,0.021
42,20,3280.95368877906,7.976,0.018
40,18,2684.92273055252,6.905,0.021
40,20,2940.3749433248,6.266,0.018
40,22,3122.26436407117,5.429,0.015
38,18,2373.84331916519,4.717,0.018
38,20,2654.0045619173,4.454,0.016
38,22,2867.25417573927,4.257,0.014
38,24,2917.12972582281,4.634,0.015
36,16,1923.7777552238,2.678,0.016
36,18,2178.10877633,2.95,0.015
36,20,2458.71905049177,3.084,0.013
36,22,2665.91492883219,3.348,0.013
36,24,2694.11352198768,3.893,0.015
36,26,2536.90343264972,4.352,0.018
34,16,1824.97340160419,1.684,0.012
34,18,2060.78574872173,2.009,0.011
34,20,2304.78547307547,2.36,0.011
34,22,2468.64317892687,2.786,0.012
34,24,2462.71012031902,3.219,0.014
34,26,2297.82510089955,3.453,0.017
34,28,2089.21927784885,3.423,0.02
32,14,1557.74416935706,1.089,0.008
32,16,1741.20984358438,1.387,0.009
32,18,1940.38995924131,1.666,0.009
32,20,2125.05999748369,1.949,0.01
32,22,2232.66147231753,2.303,0.011
32,24,2201.58471838437,2.631,0.014
32,26,2048.10436236751,2.771,0.017
32,28,1867.29863300927,2.74,0.02
30,14,1451.23532969426,1.094,0.007
30,16,1615.02011759639,1.431,0.008
30,18,1768.72013586289,1.574,0.008
30,20,1894.5234080857,1.593,0.009
30,22,1956.38544686225,1.742,0.011
30,24,1916.16034639468,2.052,0.014
30,26,1787.24461208126,2.304,0.018
30,28,1634.56104084089,2.353,0.022
28,20,1636.27223630304,1.292,0.009
28,22,1673.13351152827,1.242,0.01
28,24,1638.80756290595,1.529,0.014
28,26,1540.11395499518,1.885,0.02
28,28,1413.31161940342,1.993,0.025
26,24,1420.49065818358,1.139,0.014
26,26,1350.91431718677,1.457,0.02
26,28,1241.0291001111,1.541,0.026
24,26,1239.44508371044,1.044,0.018
22,26,1166.67353943634,0.702,0.013
98,18,1820.11940940481,5.249,0.035
98,20,2087.99356915924,7.79,0.037
98,22,2374.43743805282,12.396,0.04
98,24,2584.71764851538,17.131,0.042
98,26,2682.63458720661,20.368,0.042
98,28,2671.41325988935,21.71,0.042
98,30,2561.2808600568,21.423,0.043
96,16,1883.21354577115,6.116,0.035
96,18,2034.32736354201,6.313,0.032
96,20,2277.38607907217,8.591,0.033
96,22,2532.63324152414,12.642,0.035
96,24,2729.89787243161,16.448,0.036
96,26,2849.24716353438,18.868,0.036
96,28,2885.18165229894,20.171,0.036
96,30,2820.33468997873,20.813,0.037
96,32,2666.57454890404,20.931,0.039
94,14,2071.64460839827,8.504,0.037
94,16,2131.77103847134,7.888,0.033
94,18,2293.27920309969,8.099,0.029
94,20,2511.29315917348,10.074,0.029
94,22,2714.96531436358,13.245,0.03
94,24,2857.41541175661,15.732,0.032
94,26,2945.77760967869,16.826,0.031
94,28,2990.6773103967,17.424,0.032
94,30,2970.18416611295,18.491,0.033
94,32,2870.2914461051,19.977,0.037
94,34,2720.78961445486,20.622,0.04
92,12,2325.17975017584,10.765,0.038
92,14,2276.39016924193,9.953,0.035
92,16,2384.04470648811,9.719,0.029
92,18,2580.8057362096,10.354,0.026
92,20,2799.69782443573,12.362,0.026
92,22,2965.07629942318,14.941,0.027
92,24,3040.61925950131,16.494,0.028
92,26,3057.85931077976,16.684,0.029
92,28,3056.18858589808,16.572,0.03
92,30,3033.18821958798,17.353,0.033
92,32,2973.11335161723,19.399,0.037
92,34,2881.19845818474,21.479,0.04
92,36,2770.03021743108,21.12,0.041
90,12,2529.44225447369,12.75,0.037
90,14,2488.16121817603,11.71,0.032
90,16,2634.18915448561,11.703,0.027
90,18,2873.99298873068,12.827,0.024
90,20,3112.9619760605,15.22,0.024
90,22,3261.40879906828,17.686,0.025
90,24,3284.67925559917,18.751,0.027
90,26,3228.0668823718,18.411,0.029
90,28,3151.7984815729,17.63,0.031
90,30,3077.38066908497,17.529,0.034
90,36,2930.8817702899,22.123,0.04
88,12,2779.72145004531,15.728,0.034
88,14,2735.22343939051,14.328,0.03
88,16,2898.77714184157,14.217,0.025
88,18,3163.52626025148,15.702,0.023
88,20,3410.02021106541,18.44,0.023
88,22,3537.83915003925,20.624,0.024
88,24,3521.65462131862,21,0.025
86,12,3040.56359152483,18.905,0.03
86,14,3004.4302357474,17.638,0.027
86,16,3175.2765006122,17.858,0.024
86,18,3439.07829131798,19.955,0.023
86,20,3658.19203095043,22.557,0.023
86,22,3736.29280691991,23.351,0.023
84,12,3256.91342142693,21.347,0.027
84,14,3249.35473253757,21.222,0.025
84,16,3431.70380333996,22.84,0.024
84,18,3680.03999444895,25.968,0.025
84,20,3846.91814786819,27.789,0.025
82,12,3428.19681958089,23.651,0.025
82,14,3451.75481724305,24.683,0.024
82,16,3640.98296458889,27.659,0.024
82,18,3862.8079327835,31.276,0.026
82,20,3975.07202950634,31.715,0.026
80,14,3629.74164573367,26.713,0.024
80,16,3798.29672661488,29.343,0.024
80,18,3969.65354431303,31.984,0.025
80,20,4028.15941672998,31.047,0.026
78,14,3794.14553001556,25.65,0.023
78,16,3904.97192721739,26.353,0.023
78,18,3995.96243160723,27.218,0.024
76,16,3953.49401950994,20.791,0.021
76,18,3959.98917665983,20.574,0.022
62,4,3010.24851500843,11.888,0.019
62,6,3116.9596782187,13.708,0.021
62,8,3040.33307553917,15.892,0.024
62,10,3036.64733060073,18.514,0.026
62,12,3148.36684842027,18.769,0.024
60,0,1557.56495263499,4.333,0.021
60,2,2363.90172576867,8.047,0.02
60,4,2916.17464132849,10.655,0.019
60,6,3088.31274957693,11.799,0.02
60,8,3043.92515889142,12.846,0.021
60,10,3021.24490650204,14.087,0.023
60,12,3101.93062648705,14.225,0.021
60,14,3225.66098235844,12.804,0.019
60,16,3335.05700766016,11.64,0.018
58,0,1529.85834991623,4.039,0.021
58,2,2370.61230799306,7.633,0.02
58,4,3004.70708482534,10.304,0.019
58,6,3265.36349962293,11.356,0.019
58,8,3259.59313222193,11.665,0.019
58,10,3221.38697367066,12.146,0.019
58,12,3280.65342121754,12.905,0.019
58,14,3405.38875382438,13.268,0.019
58,16,3515.78939528284,12.916,0.019
58,18,3605.96306056317,13.106,0.019
56,0,1507.63544160418,3.39,0.02
56,2,2375.40449690224,7.042,0.02
56,4,3075.31084632105,10.252,0.02
56,6,3414.44194448996,11.702,0.019
56,8,3456.23758122008,11.827,0.018
56,10,3423.1763558178,12.212,0.018
56,12,3477.51261251015,13.941,0.02
56,14,3613.54518625043,15.912,0.021
56,16,3737.76670664753,16.257,0.021
56,18,3822.90834985427,15.681,0.021
54,0,1456.0498901393,2.9,0.02
54,2,2301.24585884915,6.523,0.021
54,4,3005.47932800142,10.024,0.021
54,6,3379.51826410857,11.791,0.02
54,8,3459.20137133092,11.91,0.019
54,10,3441.17650403612,12.227,0.019
54,12,3493.466688132,14.36,0.021
54,14,3628.97688159847,17.009,0.022
54,16,3758.12444659431,17.672,0.022
54,18,3844.53608470902,16.808,0.022
54,20,3959.32136821486,17.288,0.022
52,10,3308.26956975598,11.424,0.021
52,12,3358.87897235491,12.996,0.021
52,14,3486.91221962324,15.194,0.022
52,16,3617.02191538893,15.939,0.022
52,18,3715.5668818721,15.449,0.022
52,20,3833.34150277874,15.663,0.022
50,12,3187.42883787157,10.726,0.02
50,14,3327.29186732746,11.99,0.02
50,16,3480.29765183028,12.864,0.02
50,18,3613.77115057914,13.222,0.021
50,20,3745.52940381123,13.602,0.022
48,14,3185.01587241754,9.287,0.017
48,16,3391.09961347635,10.321,0.018
48,18,3584.04700976363,11.451,0.019
48,20,3743.40604978189,12.07,0.021
46,16,3277.59308747585,9.023,0.018
46,18,3529.5298644846,10.411,0.019
46,20,3721.45793152848,10.896,0.019
44,16,3074.74155651797,8.558,0.02
44,18,3354.99865714745,9.635,0.02
20,26,1077.60393219728,0.471,0.01
20,28,1014.39075459648,0.384,0.011
18,28,962.053696812487,0.279,0.007
18,30,907.928240795848,0.271,0.008
16,28,919.247747464986,0.23,0.005
16,30,949.892387714093,0.291,0.006
14,28,857.999948792333,0.216,0.005
14,30,962.389023005592,0.348,0.006
14,32,1010.39944161759,0.477,0.007
12,26,584.660964572412,0.108,0.005
12,28,742.49303734012,0.233,0.005
12,30,888.051067318718,0.442,0.007
12,32,982.325351908215,0.626,0.008
10,26,432.365386451655,0.082,0.006
10,28,578.068074087096,0.22,0.007
10,30,730.411252426437,0.446,0.008
10,32,855.088471713659,0.643,0.01
8,24,213.585694540631,0.032,0.011
8,26,293.727095158387,0.051,0.008
8,28,405.631080015808,0.133,0.008
